"obj","site1","site2","site3","site4"
0.410452376763923,1,2,6,29
0.410411232888805,2,3,9,10
0.410411232888805,2,5,9,10
0.410411232888805,2,6,9,10
0.410411232888805,2,7,9,10
0.410411232888805,2,8,9,10
0.410411232888805,3,5,9,10
0.410411232888805,3,6,9,10
0.410411232888805,3,7,9,10
0.410411232888805,3,8,9,10
0.410411232888805,5,6,9,10
0.410411232888805,5,7,9,10
0.410411232888805,5,8,9,10
0.410411232888805,6,7,9,10
0.410411232888805,6,8,9,10
0.410411232888805,7,8,9,10
0.409693724192355,1,2,4,8
0.409693724192355,2,4,5,8
0.409549549740872,2,3,10,12
0.409549549740872,2,6,10,12
0.409549549740872,2,7,10,12
0.409549549740872,2,9,10,12
0.409549549740872,3,5,10,12
0.409549549740872,3,6,10,12
0.409549549740872,3,7,10,12
0.409549549740872,3,8,10,12
0.409549549740872,3,9,10,12
0.409549549740872,5,6,10,12
0.409549549740872,5,7,10,12
0.409549549740872,5,9,10,12
0.409549549740872,6,7,10,12
0.409549549740872,6,8,10,12
0.409549549740872,6,9,10,12
0.409549549740872,7,8,10,12
0.409549549740872,7,9,10,12
0.409549549740872,8,9,10,12
0.408192339055894,2,4,10,12
0.408192339055894,4,8,10,12
0.407922270140526,1,5,6,29
0.407063296039676,1,2,3,8
0.407063296039676,1,2,6,8
0.407063296039676,1,2,7,8
0.406775640257235,1,2,10,12
0.406775640257235,1,8,10,12
0.405787563418664,3,4,10,19
0.405787563418664,4,6,10,19
0.405787563418664,4,7,10,19
0.405672654773206,3,5,6,29
0.4052559314499,1,4,5,8
0.405005703356424,2,8,10,12
0.405005703356424,5,8,10,12
0.404840211627317,2,3,5,8
0.404840211627317,2,3,6,8
0.404840211627317,2,3,7,8
0.404840211627317,2,5,6,8
0.404840211627317,2,5,7,8
0.404840211627317,2,6,7,8
0.403321609745244,2,5,10,12
0.403173156287067,4,7,10,30
0.402473724119969,1,3,5,8
0.402473724119969,1,3,6,8
0.402473724119969,1,3,7,8
0.402473724119969,1,5,6,8
0.402473724119969,1,5,7,8
0.402473724119969,1,6,7,8
0.401544393407642,3,4,10,30
0.401544393407642,4,6,10,30
0.401520801245566,2,4,10,19
0.401520801245566,4,8,10,19
0.401347599540513,1,4,10,12
0.401347599540513,4,5,10,12
0.40134158705336,1,2,5,8
0.4011503095876,4,9,10,19
0.401084065497127,1,3,6,29
0.400481829812196,1,9,10,19
0.40021981320837,3,5,6,8
0.40021981320837,3,5,7,8
0.40021981320837,3,6,7,8
0.40021981320837,5,6,7,8
0.39990532526512,3,4,10,11
0.39990532526512,4,6,10,11
0.39990532526512,4,7,10,11
0.39990532526512,4,9,10,11
0.399792006178776,1,5,10,12
0.399451852237363,2,3,6,29
0.399086712770591,4,7,10,29
0.398803621067997,2,9,10,19
0.398803621067997,3,9,10,19
0.398803621067997,5,9,10,19
0.398803621067997,6,9,10,19
0.398803621067997,7,9,10,19
0.398803621067997,8,9,10,19
0.398430204953409,1,3,10,11
0.398430204953409,1,6,10,11
0.398430204953409,1,7,10,11
0.398430204953409,1,9,10,11
0.398035515149601,3,10,12,19
0.398035515149601,6,10,12,19
0.398035515149601,7,10,12,19
0.398035515149601,9,10,12,19
0.39763108574631,2,4,10,30
0.397579893752419,3,8,10,19
0.397579893752419,6,8,10,19
0.397579893752419,7,8,10,19
0.397372042147306,3,4,10,29
0.397372042147306,4,6,10,29
0.396733725795875,2,3,10,11
0.396733725795875,2,6,10,11
0.396733725795875,2,7,10,11
0.396733725795875,2,9,10,11
0.396733725795875,3,5,10,11
0.396733725795875,3,6,10,11
0.396733725795875,3,7,10,11
0.396733725795875,3,8,10,11
0.396733725795875,3,9,10,11
0.396733725795875,3,10,11,12
0.396733725795875,5,6,10,11
0.396733725795875,5,7,10,11
0.396733725795875,5,9,10,11
0.396733725795875,6,7,10,11
0.396733725795875,6,8,10,11
0.396733725795875,6,9,10,11
0.396733725795875,6,10,11,12
0.396733725795875,7,8,10,11
0.396733725795875,7,9,10,11
0.396733725795875,7,10,11,12
0.396733725795875,8,9,10,11
0.396733725795875,9,10,11,12
0.39566154664141,1,4,10,11
0.39566154664141,2,4,10,11
0.39566154664141,4,5,10,11
0.39566154664141,4,8,10,11
0.39566154664141,4,10,11,12
0.394935732186936,2,4,7,29
0.394901636319941,1,8,10,19
0.394447023661285,5,7,10,19
0.394109757365407,1,2,10,11
0.394109757365407,1,5,10,11
0.394109757365407,1,8,10,11
0.394109757365407,1,10,11,12
