"obj","site1","site2","site3"
0.36182598148783,5,8,24
0.36182598148783,8,24,27
0.36182598148783,8,24,30
0.361712215505016,8,19,30
0.361647077322407,8,23,24
0.361618883873141,3,5,24
0.361579556464792,4,10,13
0.361490361654496,2,11,22
0.361490361654496,8,11,22
0.361490361654496,8,12,22
0.361475531530662,2,12,30
0.361413208358554,3,6,11
0.361413208358554,5,6,11
0.361413208358554,6,7,11
0.361413208358554,6,9,11
0.361413208358554,6,11,12
0.361330786991063,4,8,29
0.361298978719196,9,10,15
0.36125962254168,1,3,11
0.361137401261088,8,24,29
0.360924449993943,7,10,22
0.360850980324257,1,10,29
0.360801705648733,12,19,24
0.360791054374934,5,11,24
0.360791054374934,11,12,24
0.360791054374934,11,24,27
0.360791054374934,11,24,30
0.360623697762579,1,9,22
0.360610449503492,10,13,24
0.360590149537714,7,9,22
0.360590149537714,7,11,22
0.360590149537714,7,12,22
0.360582704506653,9,22,24
0.360537836371466,1,6,24
0.360454021453127,3,4,23
0.360454021453127,4,6,23
0.360454021453127,4,7,23
0.360419494087607,3,8,22
0.360419494087607,6,8,22
0.360419494087607,7,8,22
0.360363283756677,2,12,22
0.360336470068945,11,19,22
0.360336470068945,11,22,23
0.360181847854819,3,9,30
0.360180477577616,3,12,30
0.360128758945041,9,24,31
0.360105664157427,11,24,29
0.359935797450021,8,12,30
0.359899190078092,4,10,22
0.35989107871249,1,10,13
0.359867713553242,10,11,27
0.359525836253118,3,7,29
0.359497412654661,8,10,21
0.359482282589506,6,13,24
0.359431723506903,5,9,22
0.359431723506903,9,11,22
0.359431723506903,9,12,22
0.359431723506903,9,22,27
0.359431723506903,9,22,30
0.359421557276072,4,11,22
0.35934269793832,4,7,11
0.359340109727067,4,6,21
0.359313124787293,6,13,22
0.359293619543314,8,29,30
0.359276256810023,9,10,28
0.359260152526994,9,10,14
0.359208944165095,3,5,11
0.359208944165095,3,7,11
0.359208944165095,3,9,11
0.359208944165095,3,11,12
0.359184463749399,1,3,24
0.359073139988758,3,6,30
0.359047991358217,8,10,31
0.359042952850938,10,13,22
